gene,log2FoldChange,p_value,adj_p_value,significant
ENSG00000057294.15,-0.10195322009264007,0.015544565505484728,0.019781174846473435,False
ENSG00000057593.14,0.5704745804295638,1.2247334295513124e-21,4.971435061148356e-21,True
ENSG00000057657.17,0.05718175121944036,0.03274766645037786,0.0403725688764911,False
ENSG00000057663.16,-0.008156694669291475,0.3877907782228597,0.42053327498563153,False
ENSG00000057704.13,-0.3967206141953403,1.2772786364630277e-54,2.4003580626803493e-53,False
ENSG00000057935.14,0.12464646531734358,5.617580961459674e-18,1.8763715473925487e-17,False
ENSG00000058056.9,-0.08610259095616346,1.0694900715004257e-07,2.008956106687578e-07,False
ENSG00000058063.16,-0.23518320328711173,5.661801725074775e-32,3.800644734057071e-31,False
ENSG00000058085.15,-0.432866132540644,3.5395699905933325e-13,9.173141406201118e-13,False
ENSG00000058091.17,-0.11091435100087477,3.884720567373943e-09,7.98996691807179e-09,False
ENSG00000058272.19,-0.12705309342974758,1.1771434518300613e-11,2.784138888208101e-11,False
ENSG00000058404.20,-0.09844191583190187,0.11877944545401735,0.1378629165464058,False
ENSG00000058453.17,0.04078505353112849,0.21755257972861514,0.2445679498690224,False
ENSG00000058600.16,0.09412382844233624,1.0117042089352375e-08,2.026583732867133e-08,False
ENSG00000058668.15,-0.20401642316317847,2.0700358657831885e-32,1.4223675013170283e-31,False
ENSG00000058729.11,-0.007074856163732601,0.49066483737880406,0.5235062246167218,False
ENSG00000058799.15,0.0988438012436279,7.97237868358177e-15,2.2479804906602532e-14,False
ENSG00000058804.12,0.12306293580822203,2.714081839462865e-12,6.66136282266629e-12,False
ENSG00000059122.17,-0.023524711953267996,0.1582150410290212,0.18100106107104982,False
ENSG00000059145.19,-0.1080361236719829,1.0156073212863727e-07,1.9101199013290342e-07,False
ENSG00000059377.18,-0.0019967890413206124,0.9372668378892777,0.9442660377593756,False
ENSG00000059378.13,0.18616606425956794,6.267987772223018e-23,2.7001814406092616e-22,False
ENSG00000059573.9,0.18930163651470266,1.5999085054554748e-25,7.889712255431841e-25,False
ENSG00000059588.10,0.14665273400489642,1.9709150382139387e-11,4.607687256145689e-11,False
ENSG00000059691.12,-0.06750633388339233,8.080874026134521e-11,1.8296360156866727e-10,False
ENSG00000059728.11,-0.001896364928938965,0.9075147131880703,0.9179700792833184,False
ENSG00000059758.8,-0.014329222380158324,0.37293230496838337,0.4057992569603511,False
ENSG00000059769.20,-0.02661612122119017,0.009640440977508628,0.012529251063657439,False
ENSG00000059804.16,-0.17418072201461365,3.732191411110278e-08,7.20977698206798e-08,False
ENSG00000059915.17,0.284491429559377,9.977943591855932e-10,2.1238326829560975e-09,False
ENSG00000060069.17,0.1062056054112932,6.329043509577699e-08,1.203853140737418e-07,False
ENSG00000060138.13,-0.2768353286778171,6.675805823103861e-86,4.344247914846489e-84,False
ENSG00000060140.9,0.10050564323554823,0.07313569926207071,0.08693508549819494,False
ENSG00000060237.18,-0.007965393393151388,0.5334388380636691,0.565796361702047,False
ENSG00000060339.14,0.10909666487821346,4.2980973130265083e-13,1.1080103590548683e-12,False
ENSG00000060491.16,0.1744279544603078,6.215204454890795e-15,1.760886165689907e-14,False
ENSG00000060558.4,0.06969797858798454,0.013890977287149305,0.017759987449183726,False
ENSG00000060642.11,-0.07798079883717124,2.7239650100510516e-07,4.969925824825415e-07,False
ENSG00000060656.20,-0.03302806851617479,0.09245815683031311,0.10861288137250664,False
ENSG00000060688.13,0.0768335158506055,5.929380601327773e-10,1.2783180680581146e-09,False
ENSG00000060718.22,1.5741448546619323,2.4035863868341326e-71,9.003411400254084e-70,True
ENSG00000060749.16,-0.007059395777528454,0.6999656595908402,0.725498448173042,False
ENSG00000060762.19,-0.09415261474211656,1.603928145655019e-32,1.109907575020825e-31,False
ENSG00000060971.19,-0.011934922879158982,0.4512479244485027,0.48475484290143417,False
ENSG00000060982.15,0.13563768255288644,0.0014961009356699764,0.002085893037011224,False
ENSG00000061273.18,-0.04925945152284639,0.0003440368513579057,0.0005042794374554445,False
ENSG00000061337.15,-0.14647489521015444,0.0003314816876623827,0.0004867363175886717,False
ENSG00000061455.11,-0.10430442755409475,0.002356297304077985,0.0032343781507047794,False
ENSG00000061656.10,0.41183878158551934,2.859765216892143e-25,1.3912326006774617e-24,False
ENSG00000061676.15,-0.03747570935559841,0.0011471545526576274,0.0016149896196488223,False
ENSG00000061794.13,0.10104738089220922,8.84085053736426e-25,4.195169397112455e-24,False
ENSG00000061918.14,-0.0957864694648225,1.012331508473149e-10,2.279944225244766e-10,False
ENSG00000061936.10,0.030141139747887014,0.0367206572495028,0.04506305179694198,False
ENSG00000061938.20,0.1495565997605679,1.7830309603529417e-10,3.955034855780873e-10,False
ENSG00000061987.16,-0.11531724412673228,1.2137163161247308e-09,2.571553696344967e-09,False
ENSG00000062038.14,-0.09992951264548289,0.2048889536139945,0.23113033965130012,False
ENSG00000062194.16,0.003360529899606224,0.729178998513331,0.7532837142084426,False
ENSG00000062282.15,-0.75202102734755,6.462555893924545e-35,4.944197902433559e-34,True
ENSG00000062370.17,-0.08924268333229124,0.0003964359252510891,0.0005786311675271855,False
ENSG00000062485.19,-0.05259939519068357,1.1705886778357573e-08,2.3344247710619585e-08,False
ENSG00000062598.18,0.07796180363399063,2.157399428771213e-12,5.32102944723982e-12,False
ENSG00000062650.19,0.009614236518943109,0.47984486104003554,0.5130175648539623,False
ENSG00000062716.13,0.12780861089422135,7.524145825750471e-13,1.9070669899572827e-12,False
ENSG00000062725.10,-0.04405818141333384,0.0005777153157090075,0.000831737632211979,False
ENSG00000062822.15,0.2537412764465583,1.1703797344804958e-16,3.6369440662863947e-16,False
ENSG00000063046.18,-0.10507661922099842,1.548640616575292e-36,1.2684176896076208e-35,False
ENSG00000063127.16,-0.3997610272716372,1.2276393783058853e-43,1.3924434616273317e-42,False
ENSG00000063169.11,0.17247882889400912,5.062867152271638e-14,1.3691854225031873e-13,False
ENSG00000063176.16,0.1354554850212728,9.40690540071565e-09,1.8879800220062346e-08,False
ENSG00000063177.13,0.010993942528694678,0.34843854917306405,0.3807196473943389,False
ENSG00000063180.9,-0.3234343887762874,2.927860286645121e-18,9.947771006672631e-18,False
ENSG00000063241.8,0.20735419123337717,1.2527687805619035e-35,9.894547903210007e-35,False
ENSG00000063244.13,0.13130492232655433,1.1398561398001473e-19,4.1662495118598335e-19,False
ENSG00000063245.15,0.15256058163074693,6.622217058083742e-20,2.451786476167818e-19,False
ENSG00000063322.15,0.06987397823650054,8.805634359254838e-11,1.989660900837075e-10,False
ENSG00000063587.15,-0.05229000767352199,3.767294541064681e-05,5.9356708711002006e-05,False
ENSG00000063601.17,0.052082684115970945,0.0025922785886694495,0.0035442259949230327,False
ENSG00000063660.9,0.10818314691008535,1.439560677404106e-08,2.8543517601677303e-08,False
ENSG00000063761.16,0.027403772531418236,0.06337200659526712,0.07582889222972762,False
ENSG00000063854.13,0.16528016978904025,8.628064555853306e-18,2.853779215464018e-17,False
ENSG00000063978.16,0.06790149855901406,3.1207027271573208e-09,6.458585813725191e-09,False
ENSG00000064012.22,0.02798641012797498,0.08219268623149086,0.09713042553235715,False
ENSG00000064042.18,-0.3502474373293585,6.512461048214464e-62,1.625079377955952e-60,False
ENSG00000064102.15,0.1226157826955232,1.740794396760328e-19,6.298897126001065e-19,False
ENSG00000064115.11,0.04078911703402088,0.0001420032466296785,0.0002146280967823012,False
ENSG00000064195.7,0.2839226398349173,1.5320478530606267e-07,2.8481741063957023e-07,False
ENSG00000064199.7,0.002827523300366508,0.9403325331389638,0.9470096531472941,False
ENSG00000064205.10,-0.4549748948010244,6.0661783738559434e-18,2.023360079110865e-17,False
ENSG00000064225.12,-0.3529416782250838,1.5899936460271126e-61,3.9379633674886427e-60,False
ENSG00000064270.13,0.41106206320538385,7.510791643363957e-10,1.6110919923730805e-09,False
ENSG00000064300.9,-0.7832618802839451,3.854714043417674e-46,4.91283600894569e-45,True
ENSG00000064309.14,-0.33336432573001407,1.560201549976108e-23,6.965290427845988e-23,False
ENSG00000064313.12,0.11466369877751159,1.5977372986253316e-10,3.5530491467955977e-10,False
ENSG00000064393.16,-0.21727694106401607,1.0631788220072163e-25,5.296424308732436e-25,False
ENSG00000064419.13,0.046148859019943256,6.297721762768139e-09,1.2792801436084527e-08,False
ENSG00000064490.14,0.16681584757382462,2.5090909243603083e-23,1.1102894613022656e-22,False
ENSG00000064545.15,0.13228974466164667,2.0196523902717284e-16,6.192726777651631e-16,False
ENSG00000064547.14,0.3639390331561252,2.7689340320653128e-14,7.578375610768893e-14,False
ENSG00000064601.20,0.11314390284233866,3.947847861015655e-17,1.2605462267787911e-16,False
ENSG00000064607.17,0.09701903988076932,9.705734330049123e-09,1.9465428507715152e-08,False
ENSG00000064651.14,-0.13973114419577204,9.170320899487405e-06,1.5059109847213657e-05,False
ENSG00000064652.11,0.1598044394777216,5.425450923550138e-22,2.2339933653943176e-21,False
ENSG00000064655.19,-0.36164840469196946,4.610286355856227e-27,2.461489439803032e-26,False
ENSG00000064666.15,-0.04744269088290354,0.0042841054061713854,0.005749793360563569,False
ENSG00000064687.13,0.06747904371266111,0.0023497291039206937,0.0032256291156899397,False
ENSG00000064692.20,-0.6019620482746308,9.453128671596678e-62,2.3447715571969397e-60,True
ENSG00000064703.12,0.015279549479933596,0.3005899721760898,0.331802700611324,False
ENSG00000064726.10,-0.008348885130354144,0.28970168502528076,0.3203805239126631,False
ENSG00000064763.11,0.042591391440058635,0.0686072347081498,0.08179827940415561,False
ENSG00000064787.13,0.4172593827004851,6.25121501488926e-11,1.4231398265478445e-10,False
ENSG00000064886.14,-0.33597371560798495,7.52340457901254e-13,1.9070669899572827e-12,False
ENSG00000064932.16,0.16114057765593515,6.049164133255661e-13,1.5438002738572414e-12,False
ENSG00000064933.18,-0.039093317805606986,0.01338452049470127,0.017130947403707898,False
ENSG00000064961.19,0.19293586645196514,1.2680804038948257e-20,4.8901989826239225e-20,False
ENSG00000064989.13,-0.22023513753444623,1.1709911792915733e-13,3.1070399151206216e-13,False
ENSG00000064995.18,0.08793149378979637,2.4035149858566653e-17,7.758009662576445e-17,False
ENSG00000064999.15,-0.10191942298922863,3.500054694780246e-12,8.52236355175105e-12,False
ENSG00000065000.19,0.08004681710089923,6.748723844092413e-13,1.7165592193266322e-12,False
ENSG00000065029.15,0.0404813762987164,0.006430598090276597,0.008485157817274956,False
ENSG00000065054.14,0.047773560574913,0.0021340652609817016,0.002939787393386216,False
ENSG00000065057.9,0.28658384358849487,5.721137818543853e-22,2.3539935770125637e-21,False
ENSG00000065060.17,0.06402822339706615,0.00021043756310144368,0.0003141418605708309,False
ENSG00000065135.12,0.07354868603343911,1.105181876933413e-10,2.4833294605054915e-10,False
ENSG00000065150.21,-0.08844401272853064,6.899846738416964e-28,3.8486069504971806e-27,False
ENSG00000065154.12,-0.01707947318238734,0.1999809990871543,0.22582406933325883,False
ENSG00000065183.16,0.015352678423705246,0.29750788507508225,0.32859730064802417,False
