gene,count,gene_clean,query,symbol,name
ENSG00000154065.17,5,ENSG00000154065,ENSG00000154065,ANKRD29,ankyrin repeat domain 29
ENSG00000160161.9,5,ENSG00000160161,ENSG00000160161,CILP2,cartilage intermediate layer protein 2
ENSG00000176092.16,5,ENSG00000176092,ENSG00000176092,CRYBG2,crystallin beta-gamma domain containing 2
ENSG00000147434.9,5,ENSG00000147434,ENSG00000147434,CHRNA6,cholinergic receptor nicotinic alpha 6 subunit
ENSG00000203585.4,5,ENSG00000203585,ENSG00000203585,LINC02408,long intergenic non-protein coding RNA 2408
ENSG00000132561.14,5,ENSG00000132561,ENSG00000132561,MATN2,matrilin 2
ENSG00000197153.5,5,ENSG00000197153,ENSG00000197153,H3C12,H3 clustered histone 12
ENSG00000177098.9,5,ENSG00000177098,ENSG00000177098,SCN4B,sodium voltage-gated channel beta subunit 4
ENSG00000196550.10,5,ENSG00000196550,ENSG00000196550,FAM72A,family with sequence similarity 72 member A
ENSG00000146648.19,5,ENSG00000146648,ENSG00000146648,EGFR,epidermal growth factor receptor
ENSG00000101441.4,5,ENSG00000101441,ENSG00000101441,CST4,cystatin S
ENSG00000274641.2,5,ENSG00000274641,ENSG00000274641,H2BC17,H2B clustered histone 17
ENSG00000274825.1,5,ENSG00000274825,ENSG00000274825,,
ENSG00000270977.2,5,ENSG00000270977,ENSG00000270977,,
ENSG00000137745.12,5,ENSG00000137745,ENSG00000137745,MMP13,matrix metallopeptidase 13
ENSG00000170271.11,5,ENSG00000170271,ENSG00000170271,FAXDC2,fatty acid hydroxylase domain containing 2
ENSG00000270882.2,5,ENSG00000270882,ENSG00000270882,H4C14,H4 clustered histone 14
ENSG00000230838.1,5,ENSG00000230838,ENSG00000230838,LINC01614,long intergenic non-protein coding RNA 1614
ENSG00000164919.11,5,ENSG00000164919,ENSG00000164919,COX6C,cytochrome c oxidase subunit 6C
ENSG00000226012.1,5,ENSG00000226012,ENSG00000226012,,
ENSG00000287747.1,5,ENSG00000287747,ENSG00000287747,LOC124901872,uncharacterized LOC124901872
ENSG00000179546.4,5,ENSG00000179546,ENSG00000179546,HTR1D,5-hydroxytryptamine receptor 1D
ENSG00000249082.2,5,ENSG00000249082,ENSG00000249082,EPIST,esophagus epithelial intergenic associated transcript
