gene,log2FoldChange,p_value,adj_p_value,significant,neg_log10_p
ENSG00000146410.12,0.8639093105461622,6.319910542462263e-65,1.8144047671560346e-63,True,62.74126582172301
ENSG00000146477.6,-1.0910978229657415,4.6912035954098176e-82,2.6751145176024232e-80,True,79.57265762175555
ENSG00000146592.17,-0.805371970422095,5.3224746822621814e-74,2.2247139767621823e-72,True,71.6527258167274
ENSG00000146648.19,-0.8306894233192499,6.325426793622215e-197,8.747011017780585e-194,True,193.05814032643468
ENSG00000146670.10,0.8831833745261917,5.1911360453172484e-49,7.464619717157229e-48,True,47.12699231237927
ENSG00000146938.16,-0.7208092383861229,1.126122654028905e-53,2.020203169833043e-52,True,51.69460495179083
ENSG00000146955.11,0.5541372775559146,1.0665085270464118e-18,3.700887180637423e-18,True,17.43169415391419
ENSG00000146966.13,-0.7526746285825556,7.003280050650842e-75,3.0029051462661516e-73,True,72.5224583857843
ENSG00000147113.17,-0.5617906264322454,2.638930657706584e-88,1.839933417394246e-86,True,85.73519789274127
ENSG00000147251.15,-0.5229087669558972,2.22617533026729e-37,1.894418124638739e-36,True,35.72252415987222
ENSG00000147257.15,-0.86135588229955,3.726923409748915e-132,1.1668786237995e-129,True,128.93297431598168
ENSG00000147536.12,0.5303315393225063,1.4842637301236818e-34,1.1175078193136288e-33,True,32.951749429383604
ENSG00000147576.17,-0.6739859221747384,6.48008021183107e-76,2.9220231259544777e-74,True,73.53431635122354
ENSG00000147799.11,0.5208441256572789,1.3265476053280536e-23,5.949386746706411e-23,True,22.22552779834666
ENSG00000147852.16,-0.5775950927514251,5.835880455042844e-48,7.997934215331794e-47,True,46.09702217235002
ENSG00000147862.17,-0.5257110543793075,1.1347627150679197e-126,2.9422269521620407e-124,True,123.53132383049696
ENSG00000147889.18,0.5619808631496925,3.4951426348842615e-32,2.377520841702378e-31,True,30.623875667283645
ENSG00000148053.17,-1.1252273983177032,5.188831953712973e-189,5.740231829327538e-186,True,185.24107056750367
ENSG00000148143.13,-0.519173374634992,1.1202954576236767e-53,2.0141043146053404e-52,True,51.695918040195366
ENSG00000148773.14,1.0057076531398692,6.825797841887839e-41,6.7987568660436254e-40,True,39.16757048958389
ENSG00000148926.10,-0.5155256389719503,1.2472790449008107e-46,1.6195108349831028e-45,True,44.79061614209182
ENSG00000149043.16,-0.7348592608519737,1.929492383997054e-17,6.260851900674054e-17,True,16.20336656925126
ENSG00000149090.12,-1.1082122996070531,4.308294728906669e-120,9.165620863009905e-118,True,117.03783811136225
ENSG00000149231.15,-0.5277871870386432,1.4865008705432853e-71,5.657567762797082e-70,True,69.24737023563526
ENSG00000149243.16,0.510946618238888,1.7967262224256984e-26,9.29101743064258e-26,True,25.031936725153905
ENSG00000149289.11,-0.5983581300651357,2.365093092222892e-65,6.90956950217371e-64,True,63.16054901031822
ENSG00000149380.12,0.8452971088409256,4.437411184438221e-46,5.633848599431358e-45,True,44.24919482815518
ENSG00000149451.18,-1.102371412465751,8.580682337638455e-119,1.6751510907149708e-116,True,115.77594601554983
